Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,127,Field,0.277,0.155,Field,0.223,0.237,yds,6.1,4.4,4.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,131,Field,0.223,0.237,Field,0.184,0.635,yds,21.4,21.2,3.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,135,Field,0.184,0.635,Field,0.228,0.188,yds,24.1,23.8,-3.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,139,Field,0.228,0.188,Field,0.309,0.293,yds,8.6,5.6,-6.5,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,143,Field,0.309,0.293,Field,0.497,0.182,yds,16.1,5.9,-15.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,147,Field,0.497,0.182,Field,0.689,0.106,yds,15.9,4.1,-15.4,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,151,Field,0.689,0.106,Field,0.743,0.133,yds,4.5,1.5,-4.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,155,Field,0.743,0.133,Field,0.522,0.095,yds,17.7,2.0,17.6,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,159,Field,0.522,0.095,Field,0.400,0.381,yds,18.1,15.2,9.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,163,Field,0.400,0.381,Field,0.487,0.752,yds,21.0,19.8,-7.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,167,Field,0.487,0.752,Field,0.499,0.371,yds,20.3,20.3,-0.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,OpponentCatch,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,171,Field,0.499,0.371,Field,0.602,0.144,yds,14.7,12.1,-8.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,70,D,1,1,Defense,Goal,,,Anonymous,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,175,Field,0.602,0.144,Endzone B,0.466,0.195,yds,41.2,2.7,-41.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,OpponentPullOb,Anonymous,Anonymous,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,219,Endzone B,0.317,0.136,Endzone A,0.810,0.000,yds,90.4,7.2,-90.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,Animal,A Brown,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,228,Endzone A,0.810,0.013,Endzone A,0.821,0.365,yds,18.8,18.8,0.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,A Brown,B Hart,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,232,Endzone A,0.821,0.365,Field,0.027,0.549,yds,11.3,9.8,5.7,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,B Hart,P Shriwi,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,236,Field,0.027,0.549,Field,0.071,0.724,yds,10.0,9.3,3.6,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,P Shriwi,B Hart,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,240,Field,0.071,0.724,Field,0.119,0.546,yds,10.2,9.5,3.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,B Hart,P Shriwi,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,244,Field,0.119,0.546,Field,0.129,0.608,yds,3.4,3.3,0.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,P Shriwi,Cooli,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,248,Field,0.129,0.608,Field,0.232,0.471,yds,11.0,7.3,8.2,
2015-06-06 19:01,,Pittsburgh Thunderbirds,71,O,1,2,Offense,Catch,Cooli,P Shriwi,,,A Brown,Cooli,D Wise,Animal,P Shriwi,C Camp,B Hart,,,,,,,,,,,,,,,,,,,,,,252,Field,0.232,0.471,Field,0.261,0.349,yds,6.9,6.5,2.3,
