Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Roeder S,Joye A,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,386,Field,0.243,0.198,Field,0.253,0.361,yds,8.7,8.7,0.8,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Joye A,Sanche M,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,389,Field,0.253,0.361,Field,0.385,0.515,yds,13.4,8.3,10.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Sanche M,Ham S,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,395,Field,0.385,0.515,Field,0.922,0.605,yds,43.3,4.8,43.0,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Catch,Ham S,Joye A,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,400,Field,0.922,0.605,Field,0.953,0.857,yds,13.7,13.5,2.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,49,O,3,1,Offense,Goal,Joye A,Kittre B,,,Roeder S,Ham S,Kittre B,Joye A,Sanche M,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,,,425,Field,0.953,0.857,Endzone B,0.336,0.515,yds,21.0,18.2,10.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Pull,,,Joye A,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,487,Endzone B,0.112,0.545,Field,0.171,0.506,yds,68.6,2.1,68.6,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Defense,Throwaway,,,Anonymous,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,507,Field,0.181,0.519,Endzone B,0.855,0.680,yds,83.1,8.6,-82.6,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Norden J,Zaccar S,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,526,Endzone B,0.065,0.765,Endzone B,0.271,0.531,yds,13.2,12.5,-4.1,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Zaccar S,Norden J,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,529,Endzone B,0.271,0.531,Endzone B,0.346,0.777,yds,13.2,13.1,-1.5,
2015-05-15 19:24,AUDL,San Francisco Flamethrowers,484,D,3,2,Offense,Catch,Norden J,Zaccar S,,,Klevec A,Kittre B,Ham S,Cao C,Joye A,Sanche M,Johnso C,Norden J,Wynne R,,,,,,,,,,,,,,,,,,,,533,Endzone B,0.346,0.777,Endzone B,0.449,0.529,yds,13.4,13.3,-2.1,
