Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Defense,Pull,,,Joncas,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,0,Endzone B,0.317,0.299,Endzone A,0.610,0.469,yds,94.6,9.1,94.1,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Defense,OpponentCatch,,,Anonymous,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,4,Field,0.026,0.475,Field,0.155,0.424,yds,10.7,2.7,-10.3,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Defense,OpponentCatch,,,Anonymous,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,8,Field,0.155,0.424,Field,0.308,0.679,yds,18.3,13.6,-12.2,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Defense,Throwaway,,,Anonymous,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,12,Field,0.308,0.679,Field,0.518,0.530,yds,18.6,7.9,-16.8,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Offense,Catch,Lemieux,Monfette,,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,20,Field,0.497,0.495,Field,0.395,0.294,yds,13.5,10.7,8.2,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Offense,Catch,Monfette,Groulx,,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,24,Field,0.395,0.294,Field,0.211,0.275,yds,14.7,1.0,14.7,
2019-07-04 19:12,AUDL,Ottawa Outlaws,30,D,1,0,Offense,Goal,Groulx,Andre,,,Lemieux,Goderre,Monfette,Joncas,Bisson,Andre,Groulx,,,,,,,,,,,,,,,,,,,,,,28,Field,0.211,0.275,Endzone A,0.590,0.229,yds,25.2,2.5,25.1,
2019-07-04 19:12,AUDL,Ottawa Outlaws,18,D,1,1,Defense,Pull,,,Ceballos,,Malik,Chaouch,Steve,Lemieux,Brissett,Gamache,Ceballos,,,,,,,,,,,,,,,,,,,,,,83,Endzone A,0.803,0.250,Endzone B,0.476,0.330,yds,93.5,4.3,93.4,
2019-07-04 19:12,AUDL,Ottawa Outlaws,18,D,1,1,Defense,OpponentCatch,,,Anonymous,,Malik,Chaouch,Steve,Lemieux,Brissett,Gamache,Ceballos,,,,,,,,,,,,,,,,,,,,,,87,Endzone B,0.393,0.369,Field,0.896,0.220,yds,18.0,7.9,-16.2,
2019-07-04 19:12,AUDL,Ottawa Outlaws,18,D,1,1,Defense,OpponentCatch,,,Anonymous,,Malik,Chaouch,Steve,Lemieux,Brissett,Gamache,Ceballos,,,,,,,,,,,,,,,,,,,,,,91,Field,0.896,0.220,Field,0.576,0.587,yds,32.2,19.6,-25.6,
2019-07-04 19:12,AUDL,Ottawa Outlaws,18,D,1,1,Defense,OpponentCatch,,,Anonymous,,Malik,Chaouch,Steve,Lemieux,Brissett,Gamache,Ceballos,,,,,,,,,,,,,,,,,,,,,,95,Field,0.576,0.587,Field,0.366,0.706,yds,18.0,6.3,-16.8,
2019-07-04 19:12,AUDL,Ottawa Outlaws,18,D,1,1,Defense,Goal,,,Anonymous,,Malik,Chaouch,Steve,Lemieux,Brissett,Gamache,Ceballos,,,,,,,,,,,,,,,,,,,,,,99,Field,0.366,0.706,Endzone A,0.590,0.763,yds,37.6,3.0,-37.5,
2019-07-04 19:12,AUDL,Ottawa Outlaws,27,O,2,1,Offense,OpponentPull,Anonymous,Anonymous,,,Roger,Bonnaud,Charette,Faye,Saunders,Quinlan,Sokolsky,,,,,,,,,,,,,,,,,,,,,,110,Endzone A,0.890,0.674,Endzone B,0.372,0.411,yds,90.7,14.0,-89.7,
2019-07-04 19:12,AUDL,Ottawa Outlaws,27,O,2,1,Offense,Catch,Faye,Saunders,,,Roger,Bonnaud,Charette,Faye,Saunders,Quinlan,Sokolsky,,,,,,,,,,,,,,,,,,,,,,119,Endzone B,0.355,0.442,Field,0.907,0.517,yds,15.1,4.0,14.5,
2019-07-04 19:12,AUDL,Ottawa Outlaws,27,O,2,1,Offense,Catch,Saunders,Bonnaud,,,Roger,Bonnaud,Charette,Faye,Saunders,Quinlan,Sokolsky,,,,,,,,,,,,,,,,,,,,,,123,Field,0.907,0.517,Field,0.817,0.332,yds,12.2,9.8,7.2,
2019-07-04 19:12,AUDL,Ottawa Outlaws,27,O,2,1,Offense,Catch,Bonnaud,Roger,,,Roger,Bonnaud,Charette,Faye,Saunders,Quinlan,Sokolsky,,,,,,,,,,,,,,,,,,,,,,127,Field,0.817,0.332,Field,0.644,0.219,yds,15.1,6.0,13.8,
2019-07-04 19:12,AUDL,Ottawa Outlaws,27,O,2,1,Offense,Catch,Roger,Sokolsky,,,Roger,Bonnaud,Charette,Faye,Saunders,Quinlan,Sokolsky,,,,,,,,,,,,,,,,,,,,,,131,Field,0.644,0.219,Field,0.001,0.483,yds,53.3,14.1,51.5,
