Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
pittsburgh_thunderbirds,madison_radicals,17,26,348,346,21,6,6.242285714285715,20.470588235294116,0.9942528735632183,0.9454022988505747,0.9942196531791907,0
pittsburgh_thunderbirds,madison_radicals,21,20,263,260,25,10,6.580904761904763,12.523809523809524,0.9885931558935361,0.9163498098859315,0.9884615384615385,1
pittsburgh_thunderbirds,indianapolis_alleycats,25,17,184,179,32,11,6.864818181818182,7.36,0.9728260869565217,0.8532608695652174,0.9720670391061452,1
pittsburgh_thunderbirds,chicago_wildfire,21,18,276,273,24,8,5.975095238095238,13.142857142857142,0.9891304347826086,0.9239130434782609,0.989010989010989,1
pittsburgh_thunderbirds,detroit_mechanix,24,23,255,252,37,14,7.113214285714286,10.625,0.9882352941176471,0.8666666666666667,0.9880952380952381,1
pittsburgh_thunderbirds,detroit._mechanix,24,11,180,176,31,16,4.958884615384615,7.5,0.9777777777777777,0.85,0.9772727272727273,1
pittsburgh_thunderbirds,indianapolis_alleycats,16,19,182,179,28,6,5.398277777777777,11.375,0.9835164835164835,0.8626373626373627,0.9832402234636871,0
pittsburgh_thunderbirds,minnesota_windchill,24,17,309,303,32,15,5.864272727272726,12.875,0.9805825242718447,0.9158576051779935,0.9801980198019802,1
pittsburgh_thunderbirds,detroit_mechanix,17,12,107,105,14,5,6.202600000000001,6.294117647058823,0.9813084112149533,0.8878504672897196,0.9809523809523809,1
pittsburgh_thunderbirds,chicago_wildfire,21,20,345,343,24,10,6.279588235294117,16.428571428571427,0.9942028985507246,0.936231884057971,0.9941690962099126,1
pittsburgh_thunderbirds,indianapolis_alleycats,17,23,208,204,35,7,4.431882352941177,12.235294117647058,0.9807692307692307,0.8509615384615384,0.9803921568627451,0
pittsburgh_thunderbirds,minnesota_wind_chill,22,25,214,210,34,17,6.758409090909092,9.727272727272727,0.9813084112149533,0.8598130841121495,0.9809523809523809,0
pittsburgh_thunderbirds,indianapolis_alleycats,20,23,213,211,18,5,4.2131428571428575,10.65,0.9906103286384976,0.9248826291079812,0.990521327014218,0
pittsburgh_thunderbirds,chicago_wildfire,29,16,216,214,24,10,6.183545454545453,7.448275862068965,0.9907407407407407,0.8981481481481481,0.9906542056074766,1
dallas_roughnecks,tampa_bay_cannons,28,21,189,186,22,18,4.848172413793104,6.75,0.9841269841269841,0.8994708994708994,0.9838709677419355,1
dallas_roughnecks,austin_sol,21,17,154,151,34,14,5.731,7.333333333333333,0.9805194805194806,0.7987012987012987,0.9801324503311258,1
dallas_roughnecks,atlanta_hustle,19,23,321,318,16,8,5.1983500000000005,16.894736842105264,0.9906542056074766,0.9595015576323987,0.9905660377358491,0
dallas_roughnecks,tampa_bay_cannons,25,20,184,181,22,11,6.061304347826087,7.36,0.9836956521739131,0.8967391304347826,0.9834254143646409,1
dallas_roughnecks,atlanta_hustle,18,15,240,235,30,16,5.376052631578947,13.333333333333334,0.9791666666666666,0.8958333333333334,0.9787234042553191,1
dallas_roughnecks,austin_sol,25,21,189,187,20,14,5.492318181818182,7.56,0.9894179894179894,0.9047619047619048,0.9893048128342246,1
dallas_roughnecks,tampa_bay_cannons,29,22,203,202,42,14,3.6929090909090916,7.0,0.9950738916256158,0.7980295566502463,0.995049504950495,1
dallas_roughnecks,raleigh_flyers,15,22,228,226,20,7,5.996466666666667,15.2,0.9912280701754386,0.9210526315789473,0.9911504424778761,0
dallas_roughnecks,raleigh_flyers,21,17,271,268,19,10,6.399166666666667,12.904761904761905,0.988929889298893,0.940959409594096,0.9888059701492538,1
dallas_roughnecks,raleigh_flyers,19,17,221,217,27,14,5.5482499999999995,11.631578947368421,0.9819004524886877,0.8959276018099548,0.9815668202764977,1
dallas_roughnecks,raleigh_flyers,18,27,238,234,25,10,5.850500000000001,13.222222222222221,0.9831932773109243,0.9117647058823529,0.9829059829059829,0
dallas_roughnecks,austin_sol,20,15,161,158,31,14,4.381142857142857,8.05,0.9813664596273292,0.8260869565217391,0.9810126582278481,1
dallas_roughnecks,austin_sol,17,19,196,189,71,28,3.4783684210526316,11.529411764705882,0.9642857142857143,0.673469387755102,0.9629629629629629,0
dc_breeze,montreal_royal,20,19,196,188,24,13,7.126368421052632,9.8,0.9591836734693877,0.9183673469387755,0.9574468085106383,1
dc_breeze,montreal_royal,27,17,203,200,25,15,7.08936,7.518518518518518,0.9852216748768473,0.8916256157635468,0.985,1
dc_breeze,ottawa_outlaws,24,15,225,223,22,11,7.217136363636363,9.375,0.9911111111111112,0.9111111111111111,0.9910313901345291,1
dc_breeze,philadelphia_phoenix,21,18,236,233,23,11,6.520999999999999,11.238095238095237,0.9872881355932204,0.9152542372881356,0.9871244635193133,1
dc_breeze,toronto_rush,21,22,198,196,22,9,7.470190476190477,9.428571428571429,0.98989898989899,0.898989898989899,0.9897959183673469,0
dc_breeze,toronto_rush,23,22,251,247,31,7,5.524041666666666,10.91304347826087,0.9840637450199203,0.8924302788844621,0.9838056680161943,1
dc_breeze,ottawa_outlaws,21,22,254,250,31,12,7.026428571428572,12.095238095238095,0.984251968503937,0.8937007874015748,0.984,0
dc_breeze,new_york_empire,19,20,263,258,24,10,6.917,13.842105263157896,0.9809885931558935,0.9277566539923955,0.9806201550387597,0
dc_breeze,new_york_empire,25,26,268,264,23,7,6.2651111111111115,10.72,0.9850746268656716,0.9291044776119403,0.9848484848484849,0
