Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Defense,Pull,,,Brooks C,5.915,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,0
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Defense,Throwaway,,,Anonymous,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,13
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Wolfe J,Loskor J,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,21
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Loskor J,Brooks C,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,24
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Brooks C,Purcel R,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,27
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Purcel R,Loskor J,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,31
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Loskor J,Sackma C,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,40
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Catch,Sackma C,Loskor J,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,44
2016-04-16 18:55,Audl,Charlotte Express 2016,50,D,1,0,Offense,Goal,Loskor J,Wolfe J,,,Wolfe J,Mosola L,Brooks C,Sackma C,Loskor J,Purcel R,Matthi M,,,,,,,,,,,,,,,,,,,,,,48
2016-04-16 18:55,Audl,Charlotte Express 2016,43,D,1,1,Defense,Pull,,,Holler J,2.049,Boyea D,Orloff R,Wilder C,Holler J,Bautis V,Walch A,Starke P,,,,,,,,,,,,,,,,,,,,,,117
