Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,A Taylor,Gainer,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,294
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,Gainer,Kyle S,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,310
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,Kyle S,Boecking,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,316
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,Boecking,M Smith,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,319
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,M Smith,Gainer,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,322
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Catch,Gainer,Kyle S,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,329
2016-04-23 19:53,,Charlotte Express,67,O,2,1,Offense,Goal,Kyle S,Boecking,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,346
2016-04-23 19:53,,Charlotte Express,22,D,2,2,Defense,Pull,,,Allan L,6.189,Runner,JP Burns,Bradham,Kelvin W,Allan L,Vickroy,Sun,,,,,,,,,,,,,,,,,,,,,,414
2016-04-23 19:53,,Charlotte Express,22,D,2,2,Defense,Goal,,,Anonymous,,Runner,JP Burns,Bradham,Kelvin W,Allan L,Vickroy,Sun,,,,,,,,,,,,,,,,,,,,,,434
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Boecking,Hicks,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,481
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Hicks,M Smith,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,490
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,M Smith,Trenton,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,494
2016-04-23 19:53,,Charlotte Express,187,O,3,2,Offense,Catch,Trenton,M Smith,,,Boecking,A Taylor,Trenton,Gainer,Hicks,Kyle S,M Smith,,,,,,,,,,,,,,,,,,,,,,498
