Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Offense,Throwaway,JLoskorn,Anonymous,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,0
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Defense,D,,,K Henke,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,34
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Offense,Throwaway,JLoskorn,Anonymous,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,56
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Defense,Throwaway,,,Anonymous,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,105
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Offense,Throwaway,P Starke,Anonymous,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,118
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Defense,Throwaway,,,Anonymous,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,136
2018-06-30 19:03,AUDL,Dallas Roughnecks,145,O,1,0,Offense,Goal,RPurcell,A Walch,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,143
2018-06-30 19:03,AUDL,Dallas Roughnecks,16,D,1,1,Defense,Pull,,,MaBennet,6.168,R Lewis,D Richar,EPollack,J Wolfe,M Biersc,MaBennet,E Moore,,,,,,,,,,,,,,,,,,,,,,205
2018-06-30 19:03,AUDL,Dallas Roughnecks,16,D,1,1,Defense,Goal,,,Anonymous,,R Lewis,D Richar,EPollack,J Wolfe,M Biersc,MaBennet,E Moore,,,,,,,,,,,,,,,,,,,,,,219
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Catch,M Cook,JLoskorn,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,272
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Catch,JLoskorn,K Henke,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,281
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Catch,K Henke,C Cunnin,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,285
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Catch,C Cunnin,P Starke,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,289
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Catch,P Starke,JLoskorn,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,293
2018-06-30 19:03,AUDL,Dallas Roughnecks,26,O,2,1,Offense,Goal,JLoskorn,C Cunnin,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,296
2018-06-30 19:03,AUDL,Dallas Roughnecks,72,D,2,2,Defense,Pull,,,MaBennet,6.937,J Zdrodo,VRenshaw,M Walter,J Cecil,C Grimm,C Vargas,MaBennet,,,,,,,,,,,,,,,,,,,,,,345
2018-06-30 19:03,AUDL,Dallas Roughnecks,72,D,2,2,Defense,D,,,J Zdrodo,,J Zdrodo,VRenshaw,M Walter,J Cecil,C Grimm,C Vargas,MaBennet,,,,,,,,,,,,,,,,,,,,,,373
2018-06-30 19:03,AUDL,Dallas Roughnecks,72,D,2,2,Offense,Throwaway,J Zdrodo,Anonymous,,,J Zdrodo,VRenshaw,M Walter,J Cecil,C Grimm,C Vargas,MaBennet,,,,,,,,,,,,,,,,,,,,,,380
2018-06-30 19:03,AUDL,Dallas Roughnecks,72,D,2,2,Defense,Goal,,,Anonymous,,J Zdrodo,VRenshaw,M Walter,J Cecil,C Grimm,C Vargas,MaBennet,,,,,,,,,,,,,,,,,,,,,,415
2018-06-30 19:03,AUDL,Dallas Roughnecks,20,O,3,2,Offense,Catch,JLoskorn,C Cunnin,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,472
2018-06-30 19:03,AUDL,Dallas Roughnecks,20,O,3,2,Offense,Catch,C Cunnin,K Henke,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,481
2018-06-30 19:03,AUDL,Dallas Roughnecks,20,O,3,2,Offense,Catch,K Henke,A Walch,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,485
2018-06-30 19:03,AUDL,Dallas Roughnecks,20,O,3,2,Offense,Goal,A Walch,C Cunnin,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,490
2018-06-30 19:03,AUDL,Dallas Roughnecks,39,D,3,3,Defense,Pull,,,MaBennet,6.153,R Lewis,D Richar,EPollack,J Wolfe,M Biersc,MaBennet,E Moore,,,,,,,,,,,,,,,,,,,,,,550
2018-06-30 19:03,AUDL,Dallas Roughnecks,39,D,3,3,Defense,Goal,,,Anonymous,,R Lewis,D Richar,EPollack,J Wolfe,M Biersc,MaBennet,E Moore,,,,,,,,,,,,,,,,,,,,,,587
2018-06-30 19:03,AUDL,Dallas Roughnecks,36,O,4,3,Offense,Catch,JLoskorn,C Cunnin,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,654
2018-06-30 19:03,AUDL,Dallas Roughnecks,36,O,4,3,Offense,Catch,C Cunnin,JLoskorn,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,664
2018-06-30 19:03,AUDL,Dallas Roughnecks,36,O,4,3,Offense,Throwaway,JLoskorn,Anonymous,,,K Henke,M Cook,RPurcell,P Starke,JLoskorn,C Cunnin,A Walch,,,,,,,,,,,,,,,,,,,,,,669
