Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Sam S,Kyle C,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,0
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Kyle C,Travis C,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,10
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Travis C,Levi J,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,14
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Levi J,Kyle C,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,19
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Kyle C,Sam S,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,22
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Sam S,Cam B,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,28
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Throwaway,Cam B,Anonymous,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,41
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Defense,Throwaway,,,Anonymous,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,71
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Kyle C,Sam S,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,79
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Sam S,Kyle C,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,82
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Throwaway,Kyle C,Anonymous,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,89
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Defense,Throwaway,,,Anonymous,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,158
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Kyle C,Keegan N,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,162
2018-07-21 19:03,,Minnesota Windchill,179,O,1,0,Offense,Catch,Keegan N,Spence L,,,Levi J,Spence L,Keegan N,Cam B,Kyle C,Sam S,Travis C,,,,,,,,,,,,,,,,,,,,,,167
