Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,OpponentPull,Anonymous,Anonymous,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,241,Endzone B,0.066,0.619,Field,0.022,0.304,yds,81.3,16.8,-79.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Monfette,Genest,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,250,Field,0.027,0.318,Field,0.143,0.499,yds,13.4,9.7,9.3,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Catch,Genest,Groulx,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,254,Field,0.143,0.499,Field,0.254,0.138,yds,21.2,19.2,8.8,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Offense,Throwaway,Groulx,Anonymous,,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,258,Field,0.254,0.138,Field,0.954,0.487,yds,59.0,18.6,56.0,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,262,Field,0.976,0.480,Field,0.907,0.701,yds,13.0,11.8,-5.5,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,266,Field,0.907,0.701,Field,0.752,0.836,yds,14.3,7.2,-12.4,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,270,Field,0.752,0.836,Field,0.857,0.595,yds,15.3,12.8,8.4,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,274,Field,0.857,0.595,Field,0.792,0.332,yds,15.0,14.0,-5.2,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,278,Field,0.792,0.332,Field,0.641,0.618,yds,19.5,15.2,-12.1,
2018-07-07 18:15,AUDL,Toronto Rush,153,O,1,2,Defense,OpponentCatch,,,Anonymous,,Hibbert,Lemieux,Monfette,Joncas,Genest,Jean G,Groulx,,,,,,,,,,,,,,,,,,,,,,282,Field,0.641,0.618,Field,0.386,0.677,yds,20.7,3.2,-20.4,
