Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Defense,PullOb,,,Martin,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,0
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Defense,D,,,M. Esser,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,4
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,M. Esser,S. Xu,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,8
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,S. Xu,N. Patel,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,12
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,N. Patel,Digorgio,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,16
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,Digorgio,B. Dunn,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,20
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,B. Dunn,Martin,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,24
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,Martin,S. Xu,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,28
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,S. Xu,N. Patel,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,32
2018-06-24 13:01,Audl Game 3 Against Montreal,Montreal Royal,42,D,1,0,Offense,Catch,N. Patel,Digorgio,,,N. Patel,Igor,M. Esser,S. Xu,B. Dunn,Digorgio,Martin,,,,,,,,,,,,,,,,,,,,,,36
