Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Noah,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,507
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Karl,Channing,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,516
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Channing,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,520
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Noah,Rio,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,524
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Rio,Tate,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,528
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Catch,Tate,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,532
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,35,O,3,4,Offense,Goal,Karl,Trey,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,540
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Defense,Pull,,,Basten,8.185,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,544
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Defense,D,,,Billy,,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,640
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Offense,Catch,Josh,Pip,,,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,644
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Offense,Catch,Pip,X,,,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,648
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Offense,Throwaway,X,Anonymous,,,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,652
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,114,D,3,5,Defense,Goal,,,Anonymous,,Billy,Bubbles,Basten,Pip,Nolan,X,Josh,,,,,,,,,,,,,,,,,,,,,,656
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Besser,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,655
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,768
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Karl,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,772
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Rio,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,776
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Rio,Trey,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,780
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Trey,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,784
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Karl,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,788
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,792
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Karl,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,796
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Besser,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,800
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Besser,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,804
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,808
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Karl,Noah,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,812
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Noah,Besser,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,816
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Besser,Karl,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,820
2018-04-07 17:49,AUDL,Pittsburgh Thunderbirds,195,O,4,5,Offense,Catch,Karl,Besser,,,Karl,Besser,Trey,Channing,Rio,Tate,Noah,,,,,,,,,,,,,,,,,,,,,,824
