Year,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2018,dallas_roughnecks,atlanta_hustle,24,20,433,398,24,11,4.5141739130434795,18.041666666666668,0.9191685912240185,0.9516483516483516,0.995,1
2018,dallas_roughnecks,la_aviators,20,17,277,193,63,21,3.721777777777778,13.85,0.6967509025270758,0.826865671641791,0.9747474747474747,1
2018,dallas_roughnecks,raleigh_flyers,20,19,288,237,43,8,3.798444444444445,14.4,0.8229166666666666,0.8780487804878049,0.9875,1
2018,dallas_roughnecks,raleigh_flyers,20,24,246,200,35,11,6.522222222222222,12.3,0.8130081300813008,0.8785714285714286,0.9950248756218906,0
2018,dallas_roughnecks,nashville_nightwatch,31,21,350,288,41,21,5.506310344827588,11.290322580645162,0.8228571428571428,0.9043927648578811,0.9863013698630136,1
2018,dallas_roughnecks,tampa_cannons,28,25,332,297,27,8,4.721392857142857,11.857142857142858,0.8945783132530121,0.9325842696629213,0.99,1
2018,dallas_roughnecks,austin_sol,23,21,305,239,39,27,5.40675,13.26086956521739,0.7836065573770492,0.8918128654970761,0.991701244813278,1
2018,dallas_roughnecks,austin_sol,19,17,308,264,30,14,5.085375,16.210526315789473,0.8571428571428571,0.9194029850746268,0.9887640449438202,1
2018,dallas_roughnecks,nashville_nightwatch,28,16,320,235,63,22,3.2011785714285717,11.428571428571429,0.734375,0.8488063660477454,0.975103734439834,1
2018,dallas_roughnecks,raleigh_flyers,17,14,287,209,55,23,4.054705882352941,16.88235294117647,0.7282229965156795,0.8567164179104477,0.9675925925925926,1
2018,dallas_roughnecks,atlanta_hustle,26,21,321,276,38,7,4.41491304347826,12.346153846153847,0.8598130841121495,0.9067796610169492,0.9822064056939501,1
2018,dallas_roughnecks,tampa_bay_cannons,21,16,279,206,52,21,4.2637,13.285714285714286,0.7383512544802867,0.8611111111111112,0.9671361502347418,1
2018,dallas_roughnecks,atlanta_hustle,29,28,352,321,21,10,5.1707586206896545,12.137931034482758,0.9119318181818182,0.946236559139785,0.9968944099378882,1
2018,dallas_roughnecks,austin_sol,29,25,333,272,47,14,4.569379310344828,11.482758620689655,0.8168168168168168,0.8856382978723404,0.9855072463768116,1
2018,dallas_roughnecks,madison_radicals,16,20,349,320,23,6,5.370611111111111,21.8125,0.9169054441260746,0.9407008086253369,0.9968847352024922,0
2018,dc_breeze,montreal_royal,20,21,298,234,45,19,5.899266666666666,14.9,0.785234899328859,0.8816568047337278,0.9790794979079498,0
2018,dc_breeze,raleigh_flyers,25,24,240,201,31,8,6.1839130434782605,9.6,0.8375,0.8955223880597015,0.9852941176470589,1
2018,dc_breeze,toronto_rush,20,33,298,254,35,9,6.018428571428572,14.9,0.8523489932885906,0.9030303030303031,0.9883268482490273,0
2018,dc_breeze,new_york_empire,29,21,275,235,27,13,6.967928571428573,9.482758620689655,0.8545454545454545,0.9136212624584718,0.9957627118644068,1
2018,dc_breeze,toronto_rush,25,24,385,345,31,9,4.64084,15.4,0.8961038961038961,0.9367396593673966,0.9857142857142858,1
2018,dc_breeze,pittsburgh_thunderbirds,20,11,379,322,40,17,6.504875,18.95,0.8496042216358839,0.9088729016786571,0.9938271604938271,1
2018,dc_breeze,toronto_rush,21,28,306,258,37,11,4.312421052631578,14.571428571428571,0.8431372549019608,0.892128279883382,1.0,0
2018,dc_breeze,ottawa_outlaws,26,19,272,220,39,13,5.66636,10.461538461538462,0.8088235294117647,0.8918032786885246,0.9734513274336283,1
2018,dc_breeze,new_york_empire,15,19,273,203,57,13,4.9181333333333335,18.2,0.7435897435897436,0.8425925925925926,0.9712918660287081,0
2018,dc_breeze,philadelphia_phoenix,18,18,257,205,39,13,5.340999999999999,14.277777777777779,0.7976653696498055,0.8831615120274914,0.9761904761904762,0
2018,dc_breeze,new_york_empire,18,19,279,235,32,12,6.101722222222223,15.5,0.8422939068100358,0.9147540983606557,0.975103734439834,0
2018,dc_breeze,ottawa_outlaws,30,29,295,238,45,12,5.50732142857143,9.833333333333334,0.8067796610169492,0.8805970149253731,0.9794238683127572,1
2018,dc_breeze,philadelphia_phoenix,25,15,338,303,23,12,6.457079999999999,13.52,0.8964497041420119,0.9388888888888889,0.9967105263157895,1
2018,dc_breeze,montreal_royal,22,24,326,279,30,17,5.492954545454545,14.818181818181818,0.8558282208588958,0.9314285714285714,0.9789473684210527,0
2018,dc_breeze,new_york_empire,29,19,310,272,24,14,5.977407407407407,10.689655172413794,0.8774193548387097,0.9309309309309309,0.9963369963369964,1
2018,seattle_cascades,san_diego_growlers,27,25,311,252,42,17,6.89316,11.518518518518519,0.8102893890675241,0.886039886039886,0.9921259842519685,1
2018,seattle_cascades,spiders,24,27,258,214,33,11,5.170653846153846,10.75,0.8294573643410853,0.9084507042253521,0.9683257918552036,0
2018,seattle_cascades,los_angeles_aviators,26,30,324,270,37,17,6.270769230769231,12.461538461538462,0.8333333333333334,0.9050279329608939,0.989010989010989,0
2018,seattle_cascades,san_francisco_flamethrowers,29,32,244,188,42,14,3.0873600000000003,8.413793103448276,0.7704918032786885,0.8621908127208481,0.9842931937172775,0
2018,seattle_cascades,san_francisco_flamethrowers,27,25,349,298,34,17,5.844521739130435,12.925925925925926,0.8538681948424068,0.920844327176781,0.9867549668874173,1
2018,seattle_cascades,san_jose,25,24,296,252,32,12,6.301208333333334,11.84,0.8513513513513513,0.9024390243902439,1.0,1
2018,seattle_cascades,san_jose_spiders,14,24,231,167,56,8,5.04,16.5,0.7229437229437229,0.8133802816901409,0.9823529411764705,0
2018,seattle_cascades,minnesota_wind_chill,29,28,266,202,48,16,5.256967741935484,9.172413793103448,0.7593984962406015,0.869281045751634,0.9619047619047619,1
2018,seattle_cascades,san_diego,22,23,242,211,22,9,3.337652173913044,11.0,0.871900826446281,0.9236641221374046,0.9906103286384976,0
2018,seattle_cascades,san_diego_growlers,25,26,320,285,27,8,6.011578947368422,12.8,0.890625,0.9248554913294798,0.9965034965034965,0
2018,seattle_cascades,san_diego_growlers,16,22,225,174,43,8,3.4625555555555554,14.0625,0.7733333333333333,0.8490566037735849,0.9830508474576272,0
2018,seattle_cascades,los_angeles_aviators,17,26,342,287,45,10,6.150473684210526,20.11764705882353,0.8391812865497076,0.9023746701846965,0.9728813559322034,0
2018,seattle_cascades,san_jose,25,29,268,204,49,15,3.7470454545454546,10.72,0.7611940298507462,0.8701298701298701,0.9577464788732394,0
2018,seattle_cascades,flame,31,20,301,255,30,16,5.263655172413793,9.709677419354838,0.8471760797342193,0.9176829268292683,0.9883720930232558,1
2018,ottawa_outlaws,philadelphia_phoenix,22,19,225,170,39,16,6.714823529411765,10.227272727272727,0.7555555555555555,0.8687258687258688,0.9714285714285714,1
2018,ottawa_outlaws,toronto_rush,13,26,270,203,57,10,6.343583333333334,20.76923076923077,0.7518518518518519,0.8463949843260188,0.9620853080568721,0
2018,ottawa_outlaws,new_york_empire,23,29,241,211,23,7,6.504458333333333,10.478260869565217,0.8755186721991701,0.9377431906614786,0.9678899082568807,0
2018,ottawa_outlaws,dc_breeze,19,26,252,201,41,10,6.768750000000002,13.263157894736842,0.7976190476190477,0.8780487804878049,0.9710144927536232,0
2018,ottawa_outlaws,new_york_empire,21,24,232,187,32,13,6.821761904761905,11.047619047619047,0.8060344827586207,0.8957528957528957,0.9739583333333334,0
2018,ottawa_outlaws,philadelphia_phoenix,30,18,243,189,43,11,5.797620689655173,8.1,0.7777777777777778,0.8586572438162544,0.984375,1
2018,ottawa_outlaws,dc_breeze,29,30,242,184,42,16,5.46875,8.344827586206897,0.7603305785123967,0.8736462093862816,0.9633507853403142,0
2018,ottawa_outlaws,montreal_royal,32,24,221,176,36,9,5.947423076923077,6.90625,0.7963800904977375,0.8700787401574803,0.9832402234636871,1
2018,ottawa_outlaws,toronto_rush,17,27,291,237,44,10,6.531727272727273,17.11764705882353,0.8144329896907216,0.8686567164179104,1.0,0
2018,ottawa_outlaws,new_york_empire,16,28,249,215,28,6,5.700833333333334,15.5625,0.8634538152610441,0.9120879120879121,0.9817351598173516,0
2018,ottawa_outlaws,philadelphia_phoenix,21,22,243,177,52,14,5.19095652173913,11.571428571428571,0.7283950617283951,0.84375,0.9619565217391305,0
2018,ottawa_outlaws,toronto_rush,19,21,227,160,51,16,6.253555555555556,11.947368421052632,0.7048458149779736,0.8345588235294118,0.963855421686747,0
2018,ottawa_outlaws,montreal_royal,26,27,279,223,43,13,6.066884615384615,10.73076923076923,0.7992831541218638,0.8801261829652997,0.9780701754385965,0
2018,ottawa_outlaws,montreal_royal,33,35,261,210,39,12,6.108000000000001,7.909090909090909,0.8045977011494253,0.8938356164383562,0.963302752293578,0
2018,los_angeles_aviators,madison_radicals,19,24,302,263,31,8,6.107266666666667,15.894736842105264,0.8708609271523179,0.9179331306990881,0.9850187265917603,0
2018,los_angeles_aviators,san_jose_spiders,27,18,225,177,32,16,6.479461538461537,8.333333333333334,0.7866666666666666,0.8754863813229572,1.0,1
2018,los_angeles_aviators,san_jose_spiders,25,16,241,190,30,21,6,9.64,0.7883817427385892,0.9026217228464419,0.979381443298969,1
2018,los_angeles_aviators,seattle_cascades,26,17,293,239,44,10,6,11.26923076923077,0.8156996587030717,0.8932926829268293,0.9637096774193549,1
2018,los_angeles_aviators,san_francisco_flamethrowers,28,21,258,211,33,14,6,9.214285714285714,0.8178294573643411,0.8989547038327527,0.9813953488372092,1
2018,los_angeles_aviators,san_francisco_flamethrowers,23,19,266,214,38,14,6,11.565217391304348,0.8045112781954887,0.8837209302325582,0.9861751152073732,1
2018,los_angeles_aviators,sd_growlers,21,34,278,241,30,7,5.389,13.238095238095237,0.8669064748201439,0.9266666666666666,0.9678714859437751,0
2018,los_angeles_aviators,san_diego_growlers,30,17,254,206,31,17,6,8.466666666666667,0.8110236220472441,0.9039145907473309,0.9809523809523809,1
2018,los_angeles_aviators,san_francisco_flamethrowers,25,24,266,223,27,16,6.007863636363637,10.64,0.8383458646616542,0.9236111111111112,0.9780701754385965,1
2018,los_angeles_aviators,sd_playoffs,26,22,270,243,19,8,6,10.384615384615385,0.9,0.9473684210526315,0.9838056680161943,1
