Date,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2014-04-27,dc_breeze,rochester_dragons,30,22,293,246,29,18,6.0,9.766666666666667,0.8395904436860068,0.9213836477987422,0.984,1
2014-06-08,dc_breeze,montreal_royal,25,24,267,223,32,12,5.151739130434784,10.68,0.8352059925093633,0.9081632653061223,0.9780701754385964,1
2014-06-28,dc_breeze,montreal_royal,29,20,287,248,24,15,6.785714285714287,9.896551724137927,0.8641114982578397,0.9379084967320259,0.9802371541501976,1
2014-07-12,dc_breeze,new_york_empire,14,13,310,239,55,16,6.0,22.142857142857146,0.7709677419354839,0.8611111111111112,0.9795081967213116,1
2014-05-03,dc_breeze,philadelphia_phoenix,30,22,320,263,43,14,6.0,10.666666666666666,0.821875,0.8864265927977839,0.9924528301886792,1
2014-07-19,dc_breeze,toronto_rush,12,37,283,231,47,5,5.9653846153846155,23.58333333333333,0.8162544169611308,0.884375,0.95850622406639,0
2014-07-06,dc_breeze,philadelphia_phoenix,25,20,241,193,36,12,7.412592592592595,9.64,0.8008298755186722,0.8763636363636363,0.9897435897435898,1
2014-06-29,dc_breeze,new_york_empire,13,21,320,259,52,9,5.6466666666666665,24.615384615384606,0.809375,0.8815426997245179,0.9664179104477612,0
2014-07-05,dc_breeze,new_york_empire,23,31,284,245,32,7,6.705217391304349,12.347826086956525,0.8626760563380281,0.9102564102564102,0.9839357429718876,0
2014-05-04,dc_breeze,philadelphia_phoenix,28,19,254,197,44,13,5.0225,9.071428571428571,0.7755905511811023,0.8668941979522184,0.9752475247524752,1
2014-05-24,dc_breeze,toronto_rush,17,27,349,303,36,10,6.0,20.529411764705888,0.8681948424068768,0.9160104986876642,0.986970684039088,0
2014-05-25,dc_breeze,rochester_dragons,26,21,302,248,35,19,6.0,11.615384615384615,0.8211920529801324,0.9096385542168676,0.9802371541501976,1
2014-06-14,dc_breeze,new_york_empire,31,26,289,245,31,13,6.588000000000003,9.322580645161286,0.8477508650519031,0.9059561128526644,0.9959349593495936,1
2014-04-12,dc_breeze,toronto_rush,19,20,187,150,32,5,1.1880000000000002,9.842105263157897,0.8021390374331551,0.8538812785388128,1.0,0
2014-05-18,dc_breeze,philadelphia_phoenix,25,21,189,148,32,9,5.1826086956521715,7.56,0.783068783068783,0.8630136986301371,0.9866666666666668,1
2014-05-10,cincinnati_revolution,detroit_mechanix,20,15,243,171,51,21,2.043555555555556,12.15,0.7037037037037037,0.8408304498269896,0.9715909090909092,1
2014-05-16,cincinnati_revolution,indianapolis_alleycats,20,24,293,239,39,15,3.2482727272727274,14.65,0.8156996587030717,0.8987730061349694,0.9755102040816328,0
2014-06-07,cincinnati_revolution,dc_breeze,18,30,226,183,38,5,5.2570555555555565,12.555555555555555,0.8097345132743363,0.875968992248062,0.9682539682539684,0
2014-06-28,cincinnati_revolution,chicago_wildfire,11,21,109,40,55,14,2.1864000000000003,9.909090909090908,0.3669724770642202,0.6942675159235668,0.851063829787234,0
2014-06-27,cincinnati_revolution,indianapolis_alleycats,15,29,128,81,38,9,5.742111111111113,8.533333333333333,0.6328125,0.7757575757575758,0.9878048780487804,0
2014-05-02,cincinnati_revolution,detroit_mechanix,25,13,218,160,40,18,2.105,8.72,0.7339449541284404,0.8549019607843137,0.98159509202454,1
2014-06-21,cincinnati_revolution,indianapolis_alleycats,22,23,270,239,23,8,5.641625,12.272727272727273,0.8851851851851852,0.9278350515463918,0.991701244813278,0
2014-05-24,cincinnati_revolution,minnesota_wind_chill,25,26,306,259,36,11,6.399913043478263,12.24,0.8464052287581699,0.9161676646706588,0.9700374531835206,0
2014-04-26,cincinnati_revolution,chicago_wildfire,12,26,79,1,74,4,2.400999999999999,6.583333333333332,0.012658227848101266,0.5939849624060151,0.047619047619047616,0
2014-04-18,cincinnati_revolution,chicago_wildfire,23,22,293,254,28,11,5.775916666666666,12.73913043478261,0.8668941979522184,0.9301587301587302,0.9769230769230768,1
2014-05-31,cincinnati_revolution,madison_radicals,12,29,384,335,40,9,6.288846153846157,32.0,0.8723958333333334,0.9099526066350708,0.9940652818991098,0
2014-06-08,cincinnati_revolution,madison_radicals,15,28,138,88,45,5,5.463777777777778,9.2,0.6376811594202898,0.7840909090909091,0.9263157894736842,0
2014-04-12,cincinnati_revolution,madison_radicals,16,25,365,307,47,11,5.861875,22.8125,0.8410958904109589,0.9012345679012346,0.9777070063694268,0
2014-07-05,cincinnati_revolution,detroit_mechanix,24,20,244,190,38,16,6.489947368421054,10.166666666666666,0.7786885245901639,0.8840579710144928,0.9693877551020408,1
2014-06-29,seattle_cascades,vancouver_riptide,26,28,261,208,41,12,5.328153846153844,10.038461538461537,0.7969348659003831,0.8758389261744967,0.981132075471698,0
2014-05-25,seattle_cascades,vancouver_riptide,16,21,311,256,45,10,5.7445555555555545,19.4375,0.8231511254019293,0.8936781609195402,0.9696969696969696,0
2014-06-08,seattle_cascades,salt_lake_lions,35,11,303,227,46,30,5.219472222222223,8.657142857142857,0.7491749174917491,0.8808139534883721,0.9784482758620692,1
2014-05-03,seattle_cascades,san_jose_spiders,20,25,364,298,53,13,4.467227272727271,18.2,0.8186813186813187,0.8856447688564477,0.9802631578947368,0
2014-05-31,seattle_cascades,salt_lake_lions,22,15,317,228,66,23,4.984277777777779,14.409090909090908,0.7192429022082019,0.8364116094986808,0.9827586206896552,1
