Year,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2014,dc_breeze,rochester_dragons,30,22,293,246,29,18,6,9.766666666666667,0.8395904436860068,0.9213836477987422,0.984,1
2014,dc_breeze,montreal_royals,25,24,267,223,32,12,5.151739130434784,10.68,0.8352059925093633,0.9081632653061225,0.9780701754385965,1
2014,dc_breeze,montreal_royals,29,20,287,248,24,15,6.785714285714286,9.89655172413793,0.8641114982578397,0.9379084967320261,0.9802371541501976,1
2014,dc_breeze,new_york_empire,14,13,310,239,55,16,6,22.142857142857142,0.7709677419354839,0.8611111111111112,0.9795081967213115,1
2014,dc_breeze,philadelphia_phoenix,30,22,320,263,43,14,6,10.666666666666666,0.821875,0.8864265927977839,0.9924528301886792,1
2014,dc_breeze,toronto_rush,12,37,283,231,47,5,5.9653846153846155,23.583333333333332,0.8162544169611308,0.884375,0.9585062240663901,0
2014,dc_breeze,philadelphia_phoenix,25,20,241,193,36,12,7.412592592592595,9.64,0.8008298755186722,0.8763636363636363,0.9897435897435898,1
2014,dc_breeze,new_york_empire,13,21,320,259,52,9,5.646666666666666,24.615384615384617,0.809375,0.8815426997245179,0.9664179104477612,0
2014,dc_breeze,new_york_empire,23,31,284,245,32,7,6.705217391304349,12.347826086956522,0.8626760563380281,0.9102564102564102,0.9839357429718876,0
2014,dc_breeze,philadelphia_phoenix,28,19,254,197,44,13,5.0225,9.071428571428571,0.7755905511811023,0.8668941979522184,0.9752475247524752,1
2014,dc_breeze,toronto_rush,17,27,349,303,36,10,6,20.529411764705884,0.8681948424068768,0.916010498687664,0.9869706840390879,0
2014,dc_breeze,rochester_dragons,26,21,302,248,35,19,6,11.615384615384615,0.8211920529801324,0.9096385542168675,0.9802371541501976,1
2014,dc_breeze,new_york_empire,31,26,289,245,31,13,6.588000000000002,9.32258064516129,0.8477508650519031,0.9059561128526645,0.9959349593495935,1
2014,dc_breeze,toronto_rush,19,20,187,150,32,5,1.1880000000000002,9.842105263157896,0.8021390374331551,0.8538812785388128,1.0,0
2014,dc_breeze,philadelphia_phoenix,25,21,189,148,32,9,5.182608695652173,7.56,0.783068783068783,0.863013698630137,0.9866666666666667,1
2014,cincinnati_revolution,detroit_mechanix,20,15,243,171,51,21,2.0435555555555553,12.15,0.7037037037037037,0.8408304498269896,0.9715909090909091,1
2014,cincinnati_revolution,indianpolis_alley_cats,20,24,293,239,39,15,3.2482727272727274,14.65,0.8156996587030717,0.8987730061349694,0.9755102040816327,0
2014,cincinnati_revolution,minnesota_windchill,18,30,226,183,38,5,5.2570555555555565,12.555555555555555,0.8097345132743363,0.875968992248062,0.9682539682539683,0
2014,cincinnati_revolution,chicago_wildfire,11,21,109,40,55,14,2.1864000000000003,9.909090909090908,0.3669724770642202,0.6942675159235668,0.851063829787234,0
2014,cincinnati_revolution,indianapolis_alleycats,15,29,128,81,38,9,5.742111111111111,8.533333333333333,0.6328125,0.7757575757575758,0.9878048780487805,0
2014,cincinnati_revolution,detroit_mechanix,25,13,218,160,40,18,2.105,8.72,0.7339449541284404,0.8549019607843137,0.9815950920245399,1
2014,cincinnati_revolution,indianapolis_aleycats,22,23,270,239,23,8,5.6416249999999994,12.272727272727273,0.8851851851851852,0.9278350515463918,0.991701244813278,0
2014,cincinnati_revolution,minnesota_wind_chill,25,26,306,259,36,11,6.399913043478262,12.24,0.8464052287581699,0.9161676646706587,0.9700374531835206,0
2014,cincinnati_revolution,chicago_wildfire,12,26,79,1,74,4,2.400999999999999,6.583333333333333,0.012658227848101266,0.5939849624060151,0.047619047619047616,0
2014,cincinnati_revolution,chicago_wildfire,23,22,293,254,28,11,5.775916666666666,12.73913043478261,0.8668941979522184,0.9301587301587302,0.9769230769230769,1
2014,cincinnati_revolution,madison_radicals,12,29,384,335,40,9,6.288846153846155,32.0,0.8723958333333334,0.909952606635071,0.9940652818991098,0
2014,cincinnati_revolution,madison_radicals,15,28,138,88,45,5,5.463777777777777,9.2,0.6376811594202898,0.7840909090909091,0.9263157894736842,0
2014,cincinnati_revolution,madison_radicals,16,25,365,307,47,11,5.861875,22.8125,0.8410958904109589,0.9012345679012346,0.9777070063694268,0
2014,cincinnati_revolution,detroit_mechanix,24,20,244,190,38,16,6.489947368421054,10.166666666666666,0.7786885245901639,0.8840579710144928,0.9693877551020408,1
2014,seattle_raptors,vancouver_riptide,26,28,261,208,41,12,5.328153846153845,10.038461538461538,0.7969348659003831,0.8758389261744967,0.9811320754716981,0
2014,seattle_raptors,vancouver_riptide,16,21,311,256,45,10,5.7445555555555545,19.4375,0.8231511254019293,0.8936781609195402,0.9696969696969697,0
2014,seattle_raptors,salt_lake_lions,35,11,303,227,46,30,5.219472222222223,8.657142857142857,0.7491749174917491,0.8808139534883721,0.978448275862069,1
2014,seattle_raptors,san_jose_spiders,20,25,364,298,53,13,4.467227272727272,18.2,0.8186813186813187,0.8856447688564477,0.9802631578947368,0
2014,seattle_raptors,salt_lake_lions,22,15,317,228,66,23,4.984277777777778,14.409090909090908,0.7192429022082019,0.8364116094986808,0.9827586206896551,1
2014,seattle_raptors,san_francisco_flamethrowers,16,29,347,264,64,19,4.732375,21.6875,0.760806916426513,0.8589108910891089,0.974169741697417,0
2014,seattle_raptors,vancouver_riptide,19,24,289,235,38,16,5.4772105263157895,15.210526315789474,0.8131487889273357,0.8975155279503105,0.9791666666666666,0
2014,seattle_raptors,vancouver_riptide,18,21,245,193,39,13,5.643684210526315,13.61111111111111,0.7877551020408163,0.8781362007168458,0.9747474747474747,0
2014,seattle_raptors,san_fransisco_flamethrowers,13,17,335,273,47,15,5.272166666666666,25.76923076923077,0.8149253731343283,0.8839050131926122,0.9891304347826086,0
2014,seattle_raptors,salt_lake_lions,26,13,287,220,52,15,5.531307692307692,11.038461538461538,0.7665505226480837,0.8644578313253012,0.9691629955947136,1
2014,seattle_raptors,san_francisco_flamethrowers,17,23,252,178,61,13,5.532631578947369,14.823529411764707,0.7063492063492064,0.8155339805825242,0.978021978021978,0
2014,seattle_raptors,san_jose_spiders,14,22,280,240,32,8,4.498214285714285,20.0,0.8571428571428571,0.9150326797385621,0.975609756097561,0
2014,seattle_raptors,san_jose_spiders,21,24,302,241,49,12,6.231863636363636,14.380952380952381,0.7980132450331126,0.8728323699421965,0.9796747967479674,0
2014,seattle_raptors,san_jose_spiders,14,23,380,318,51,11,6.152466666666667,27.142857142857142,0.8368421052631579,0.8899297423887588,0.9875776397515528,0
2014,rochester_dragons,toronto_rush,18,38,311,252,51,8,6.765736842105263,17.27777777777778,0.8102893890675241,0.8711484593837535,0.980544747081712,0
2014,rochester_dragons,toronto_rush,18,30,284,224,51,9,6.041315789473684,15.777777777777779,0.7887323943661971,0.8632218844984803,0.9739130434782609,0
2014,rochester_dragons,new_york_empire_4/26/14,8,27,265,195,57,13,4.915833333333333,33.125,0.7358490566037735,0.8466453674121406,0.9558823529411765,0
2014,rochester_dragons,montreal_royal,14,27,244,182,51,11,7.246866666666666,17.428571428571427,0.7459016393442623,0.8472222222222222,0.9629629629629629,0
2014,rochester_dragons,new_york_empire,9,25,313,250,54,9,5.182,34.77777777777778,0.7987220447284346,0.8816901408450705,0.9541984732824428,0
