Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2017-06-18 17:16,,Philadelphia Phoenix,20,O,2,2,Offense,Catch,Keegan S,Kocher C,,,Steven M,Weng F,Little S,Garvey H,Keegan S,Drost M,Kocher C,,,,,,,,,,,,,,,,,,,,,,352
2017-06-18 17:16,,Philadelphia Phoenix,20,O,2,2,Offense,Catch,Kocher C,Drost M,,,Steven M,Weng F,Little S,Garvey H,Keegan S,Drost M,Kocher C,,,,,,,,,,,,,,,,,,,,,,362
2017-06-18 17:16,,Philadelphia Phoenix,20,O,2,2,Offense,Catch,Drost M,Kocher C,,,Steven M,Weng F,Little S,Garvey H,Keegan S,Drost M,Kocher C,,,,,,,,,,,,,,,,,,,,,,366
2017-06-18 17:16,,Philadelphia Phoenix,20,O,2,2,Offense,Goal,Kocher C,Steven M,,,Steven M,Weng F,Little S,Garvey H,Keegan S,Drost M,Kocher C,,,,,,,,,,,,,,,,,,,,,,370
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Defense,Pull,,,Wodatc J,8.166,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,439
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Defense,D,,,Drost R,,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,495
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Offense,Catch,Drost R,Babbit J,,,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,499
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Offense,Catch,Babbit J,Jagt B,,,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,503
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Offense,Catch,Jagt B,Wodatc J,,,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,507
2017-06-18 17:16,,Philadelphia Phoenix,77,D,3,2,Offense,Catch,Wodatc J,Jagt B,,,Cofer C,Lemar M,Wodatc J,Drost R,Jagt B,Haskel T,Babbit J,,,,,,,,,,,,,,,,,,,,,,510
