Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2017-05-20 18:34,AUDL,DC Breeze,6,D,0,1,Defense,Pull,,,Bonneau,,Danduran,Bonnaud,Ferraro,AugerSem,Bonneau,Daigle F,Arsenaul,,,,,,,,,,,,,,,,,,,,,,0,Endzone B,0.252,0.394,Field,0.070,0.410,yds,79.5,0.8,79.5,
2017-05-20 18:34,AUDL,DC Breeze,6,D,0,1,Defense,Goal,,,Anonymous,,Danduran,Bonnaud,Ferraro,AugerSem,Bonneau,Daigle F,Arsenaul,,,,,,,,,,,,,,,,,,,,,,4,Field,0.062,0.437,Endzone B,0.324,0.357,yds,81.7,4.3,-81.6,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,OpponentPull,Anonymous,Anonymous,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,42,Endzone B,0.331,0.354,Field,0.131,0.549,yds,76.8,10.4,-76.1,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,Catch,Genest A,Bonnaud,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,51,Field,0.134,0.563,Field,0.283,0.451,yds,13.3,6.0,11.9,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,Catch,Bonnaud,Genest A,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,59,Field,0.283,0.451,Field,0.416,0.292,yds,13.6,8.5,10.6,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,Catch,Genest A,Mbae Vog,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,63,Field,0.416,0.292,Field,0.523,0.162,yds,11.0,6.9,8.5,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,Catch,Mbae Vog,Voelpel,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,67,Field,0.523,0.162,Field,0.668,0.237,yds,12.2,4.0,11.6,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Offense,Throwaway,Voelpel,Anonymous,,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,71,Field,0.668,0.237,Field,0.756,0.229,yds,7.1,0.4,7.1,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,OpponentCatch,,,Anonymous,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,75,Field,0.763,0.214,Field,0.740,0.504,yds,15.5,15.4,-1.8,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,OpponentCatch,,,Anonymous,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,79,Field,0.740,0.504,Field,0.719,0.352,yds,8.2,8.1,-1.7,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,OpponentCatch,,,Anonymous,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,83,Field,0.719,0.352,Field,0.547,0.144,yds,17.7,11.1,-13.8,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,OpponentCatch,,,Anonymous,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,87,Field,0.547,0.144,Field,0.596,0.342,yds,11.3,10.5,4.0,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,OpponentCatch,,,Anonymous,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,91,Field,0.596,0.342,Field,0.459,0.220,yds,12.7,6.5,-11.0,
2017-05-20 18:34,AUDL,DC Breeze,327,O,0,2,Defense,D,,,Daigle F,,Taylor J,Danduran,Ferraro,Bonneau,Monfette,Rick M,Arsenaul,,,,,,,,,,,,,,,,,,,,,,97,Field,0.459,0.220,Field,0.368,0.236,yds,7.3,0.8,-7.3,
