Date,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2017-07-01 16:01,pittsburgh_thunderbirds,detroit_mechanix,22,14,219,141,59,19,5.637166666666666,9.954545454545455,0.6438356164383562,0.8021978021978022,0.9657534246575342,1
2017-06-03 19:03,pittsburgh_thunderbirds,chicago_wildfire,21,22,242,196,39,7,6.507181818181819,11.523809523809524,0.8099173553719008,0.88,0.9702970297029703,0
2017-06-25 14:00,pittsburgh_thunderbirds,indianapolis_alleycats,18,16,209,138,51,20,4.4775,11.61111111111111,0.6602870813397129,0.8228346456692913,0.9583333333333334,1
2017-05-20 18:03,pittsburgh_thunderbirds,madison_radicals,25,31,321,270,43,8,4.722791666666667,12.84,0.8411214953271028,0.8966480446927374,0.9782608695652174,0
2017-06-17 18:57,pittsburgh_thunderbirds,madison_radicals,21,22,247,217,22,8,5.044789473684211,11.761904761904763,0.8785425101214575,0.9216417910447762,0.9954128440366973,0
2017-05-27 16:07,pittsburgh_thunderbirds,detroit_mechanix,23,21,272,222,37,13,6.520149999999999,11.826086956521738,0.8161764705882353,0.8947368421052632,0.9779735682819384,1
2017-08-04 19:47,pittsburgh_thunderbirds,minnesota_wind_chill,26,25,271,215,41,15,6.641107142857144,10.423076923076923,0.7933579335793358,0.8741935483870967,0.9907834101382489,1
2017-07-02 14:02,pittsburgh_thunderbirds,chicago_wildfire,21,20,321,267,40,14,5.26875,15.285714285714286,0.8317757009345794,0.8941504178272981,0.9925650557620818,1
2017-04-29 18:54,pittsburgh_thunderbirds,indianapolis_alleycats,26,25,283,239,34,10,3.7432857142857148,10.884615384615385,0.8445229681978799,0.909967845659164,0.9755102040816327,1
2017-08-12 18:00,pittsburgh_thunderbirds,madison_radicals,22,27,366,335,25,6,6.14217391304348,16.636363636363637,0.9153005464480874,0.9457364341085271,0.9882005899705014,0
2017-07-09 13:58,pittsburgh_thunderbirds,minnesota_wind_chill,26,22,250,192,41,17,5.276,9.615384615384615,0.768,0.8650519031141869,0.9896907216494846,1
2017-06-04 16:33,pittsburgh_thunderbirds,indianapolis_alleycats,28,26,274,214,44,16,6.195785714285714,9.785714285714286,0.781021897810219,0.8726114649681529,0.981651376146789,1
2017-07-15 18:56,pittsburgh_thunderbirds,detroit_mechanix,28,24,273,213,42,18,5.455551724137931,9.75,0.7802197802197802,0.883495145631068,0.9726027397260274,1
2017-07-22 19:07,pittsburgh_thunderbirds,minnesota_wind_chill,13,19,242,178,51,13,5.568142857142858,18.615384615384617,0.7355371900826446,0.8432055749128919,0.967391304347826,0
2017-05-06 18:01,pittsburgh_thunderbirds,seattle_cascades,24,26,268,206,38,24,5.35204,11.166666666666666,0.7686567164179104,0.8993288590604027,0.9626168224299065,0
2017-04-22 19:02,pittsburgh_thunderbirds,chicago_wildfire,30,22,233,195,25,13,5.815357142857144,7.766666666666667,0.8369098712446352,0.91015625,0.9898477157360406,1
2017-05-13 18:51,dallas_roughnecks,raleigh_flyers,25,32,312,279,25,8,7.0679583333333325,12.48,0.8942307692307693,0.9397590361445783,0.9823943661971831,0
2017-06-03 18:01,dallas_roughnecks,madison_radicals,23,17,394,349,32,13,6.358476190476192,17.130434782608695,0.8857868020304569,0.933649289099526,0.9886685552407932,1
2017-06-17 18:55,dallas_roughnecks,austin_sol,27,25,258,202,44,12,5.68132,9.555555555555555,0.7829457364341085,0.8571428571428571,0.9950738916256158,1
